match_id,competition_id,season_id,stage,matchday,date,kickoff,venue_id,home_team_id,away_team_id,home_goals,away_goals,status,awarded_note,source_type,source_ref,reported_by,reported_at,confidence,verified_by,verified_at,extra_time,home_pens,away_pens,referee,assistant_referee_1,assistant_referee_2,fourth_official,home_coach,away_coach,referee_id,assistant_referee_1_id,assistant_referee_2_id,fourth_official_id,home_coach_id,away_coach_id
MW_SL_2627_010,MW_SL,MW_2026_27,md_2,2,2026-05-02,,MW_B_002,MW_EFC_M1,MW_REDL_M1,1,1,played,,facebook,,,,confirmed,,,,,,,,,,,,,,,,,
MW_SL_2627_011,MW_SL,MW_2026_27,md_2,2,2026-05-02,,MW_L_004,MW_SS_M1,MW_MB_M1,4,1,played,,facebook,,,,confirmed,,,,,,,,,,,,,,,,,
MW_SL_2627_012,MW_SL,MW_2026_27,md_2,2,2026-05-02,,MW_CHI_001,MW_CU_M1,MW_BLUE_M1,1,0,played,,facebook,,,,confirmed,,,,,,,,,,,,,,,,,
MW_SL_2627_013,MW_SL,MW_2026_27,md_2,2,2026-05-03,,MW_MCJ_001,MW_CS_M1,MW_MW_M1,1,2,played,,facebook,,,,confirmed,,,,,,,,,,,,,,,,,
MW_SL_2627_014,MW_SL,MW_2026_27,md_2,2,2026-05-03,,MW_MW_001,MW_BULL_M1,MW_MAFC_M1,1,0,played,,facebook,,,,confirmed,,,,,,,,,,,,,,,,,
MW_SL_2627_015,MW_SL,MW_2026_27,md_2,2,2026-05-03,,MW_D_001,MW_DD_M1,MW_CSU_M1,0,1,played,,facebook,,,,confirmed,,,,,,,,,,,,,,,,,
MW_SL_2627_016,MW_SL,MW_2026_27,md_2,2,2026-05-03,,MW_KAR_001,MW_KU_M1,MW_MFC_M1,1,2,played,,facebook,,,,confirmed,,,,,,,,,,,,,,,,,
MW_SL_2627_017,MW_SL,MW_2026_27,md_3,3,2026-05-09,,MW_L_001,MW_CSU_M1,MW_EFC_M1,1,0,played,,facebook,,,,confirmed,,,,,,,,,,,,,,,,,
MW_SL_2627_018,MW_SL,MW_2026_27,md_3,3,2026-05-09,,MW_MP_001,MW_MAFC_M1,MW_CS_M1,0,0,played,,facebook,,,,confirmed,,,,,,,,,,,,,,,,,
MW_SL_2627_019,MW_SL,MW_2026_27,md_3,3,2026-05-09,,MW_RU_001,MW_MB_M1,MW_CU_M1,3,2,played,,facebook,,,,confirmed,,,,,,,,,,,,,,,,,
MW_SL_2627_020,MW_SL,MW_2026_27,md_3,3,2026-05-10,,MW_L_001,MW_BLUE_M1,MW_SS_M1,1,0,played,,facebook,,,,confirmed,,,,,,,,,,,,,,,,,
MW_SL_2627_021,MW_SL,MW_2026_27,md_3,3,2026-05-10,,MW_MP_001,MW_KB_M1,MW_KU_M1,1,1,played,,facebook,,,,confirmed,,,,,,,,,,,,,,,,,
MW_SL_2627_022,MW_SL,MW_2026_27,md_3,3,2026-05-10,,MW_Z_001,MW_REDL_M1,MW_DD_M1,3,0,played,,facebook,,,,confirmed,,,,,,,,,,,,,,,,,
MW_SL_2627_023,MW_SL,MW_2026_27,md_3,3,2026-05-10,,MW_L_003,MW_MW_M1,MW_BULL_M1,1,2,played,,facebook,,,,confirmed,,,,,,,,,,,,,,,,,
MW_SL_2627_024,MW_SL,MW_2026_27,md_3,3,2026-05-11,,MW_L_003,MW_MFC_M1,MW_LM_M1,2,0,played,,facebook,,,,confirmed,,,,,,,,,,,,,,,,,
MW_SL_2627_025,MW_SL,MW_2026_27,md_4,4,2026-05-16,,MW_MCJ_001,MW_CS_M1,MW_KB_M1,1,3,played,,facebook,,,,confirmed,,,,,,,,,,,,,,,,,
MW_SL_2627_026,MW_SL,MW_2026_27,md_4,4,2026-05-16,,MW_MCJ_001,MW_LM_M1,MW_MW_M1,0,2,played,,facebook,,,,confirmed,,,,,,,,,,,,,,,,,
MW_SL_2627_027,MW_SL,MW_2026_27,md_4,4,2026-05-16,,MW_B_002,MW_EFC_M1,MW_MB_M1,2,0,played,,facebook,,,,confirmed,,,,,,,,,,,,,,,,,
MW_SL_2627_028,MW_SL,MW_2026_27,md_4,4,2026-05-16,,MW_CHI_001,MW_CU_M1,MW_CSU_M1,1,0,played,,facebook,,,,confirmed,,,,,,,,,,,,,,,,,
MW_SL_2627_029,MW_SL,MW_2026_27,md_4,4,2026-05-17,,MW_MW_001,MW_BULL_M1,MW_REDL_M1,0,0,played,,facebook,,,,confirmed,,,,,,,,,,,,,,,,,
MW_SL_2627_030,MW_SL,MW_2026_27,md_4,4,2026-05-17,,MW_L_004,MW_SS_M1,MW_MFC_M1,3,0,played,,facebook,,,,confirmed,,,,,,,,,,,,,,,,,
MW_SL_2627_031,MW_SL,MW_2026_27,md_4,4,2026-05-17,,MW_KAR_001,MW_KU_M1,MW_MAFC_M1,1,1,played,,facebook,,,,confirmed,,,,,,,,,,,,,,,,,
MW_SL_2627_032,MW_SL,MW_2026_27,md_4,4,2026-05-17,,MW_D_001,MW_DD_M1,MW_BLUE_M1,0,2,played,,facebook,,,,confirmed,,,,,,,,,,,,,,,,,
MW_SL_2627_033,MW_SL,MW_2026_27,md_5,5,2026-05-23,,MW_Z_001,MW_REDL_M1,MW_LM_M1,1,0,played,,facebook,,,,confirmed,,,,,,,,,,,,,,,,,
MW_SL_2627_034,MW_SL,MW_2026_27,md_5,5,2026-05-23,,MW_RU_001,MW_MB_M1,MW_CS_M1,1,0,played,,facebook,,,,confirmed,,,,,,,,,,,,,,,,,
MW_SL_2627_035,MW_SL,MW_2026_27,md_5,5,2026-05-23,,MW_L_001,MW_BLUE_M1,MW_BULL_M1,1,1,played,,facebook,,,,confirmed,,,,,,,,,,,,,,,,,
MW_SL_2627_036,MW_SL,MW_2026_27,md_5,5,2026-05-23,,MW_MP_001,MW_KB_M1,MW_EFC_M1,1,4,played,,facebook,,,,confirmed,,,,,,,,,,,,,,,,,
MW_SL_2627_037,MW_SL,MW_2026_27,md_5,5,2026-05-24,,MW_MP_001,MW_MAFC_M1,MW_CU_M1,2,0,played,,facebook,,,,confirmed,,,,,,,,,,,,,,,,,
MW_SL_2627_038,MW_SL,MW_2026_27,md_5,5,2026-05-24,,MW_L_001,MW_CSU_M1,MW_KU_M1,0,1,played,,facebook,,,,confirmed,,,,,,,,,,,,,,,,,
